stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixationn.started,grating.started,key_resp.started,fixationn.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
78,0.5,1,27.7027412,,27.6870917,27.7027412,28.1861285,28.1861285,28.2029041,28.4860806,28.587166,right,1,1,1,0.3910215,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
79,0.5,1,28.6026797,,28.5872437,28.6026797,29.1027725,29.1027725,29.1027725,29.4026954,29.8039897,left,-1,1,1,0.6917504,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
80,0.5,1,29.819424,,29.8040683,29.819424,30.3194639,30.3194639,30.3194639,30.6193477,31.1368855,left,-1,1,1,0.8053391,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
81,0.5,1,31.1527479,,31.136961,31.1527479,31.6361336,31.6361336,31.6529769,31.9360554,32.2703094,right,1,1,1,0.6178621,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
82,0.5,1,32.2860805,,32.2703851,32.2860805,32.7695514,32.7695514,32.7861437,33.069404,33.6705997,left,-1,1,1,0.8971428,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
83,0.5,1,33.6861689,,33.6706785,33.6861689,34.1861557,34.1861557,34.1861557,34.4860623,34.9538475,left,-1,1,1,0.752543,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
84,0.5,1,34.9694032,,34.9539252,34.9694032,35.469498,35.469498,35.469498,35.7694081,36.2203972,right,1,1,1,0.7487848,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
85,0.5,1,36.2361341,,36.2205212,36.2361341,36.7362478,36.7362478,36.7362478,37.0361008,37.4202723,left,-1,1,1,0.6722063,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
86,0.5,1,37.4361496,,37.4203463,37.4361496,37.9195623,37.9195623,37.9362637,38.219543,38.6038215,left,-1,1,1,0.6831013,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
87,0.5,1,38.619618,,38.6038946,38.619618,39.1194778,39.1194778,39.1194778,39.4193962,39.7705305,left,-1,1,1,0.6441576,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
88,0.5,1,39.7861029,,39.7706031,39.7861029,40.2695835,40.2695835,40.286258,40.5694425,40.870343,right,1,1,1,0.5916406,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
89,0.5,1,40.886109,,40.8704166,40.886109,41.3696218,41.3696218,41.3862206,41.6694011,41.9041016,right,1,1,1,0.5334636,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
90,0.5,1,41.9194404,,41.9041738,41.9194404,42.419512,42.419512,42.419512,42.7194586,43.053635,left,-1,1,1,0.6260046,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
91,0.5,1,43.0695125,,43.0537093,43.0695125,43.5528646,43.5528646,43.5696247,43.8527568,44.1369478,left,-1,1,1,0.5741322,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
92,0.5,1,44.1528896,,44.1370223,44.1528896,44.6362116,44.6362116,44.6528339,44.9361184,45.4537134,left,-1,1,1,0.8057185,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
93,0.5,1,45.4695792,,45.4537851,45.4695792,45.952977,45.952977,45.969523,46.2527226,46.5203318,right,1,1,1,0.557725,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
94,0.5,1,46.536151,,46.5204022,46.536151,47.0196237,47.0196237,47.0362073,47.3194528,47.4371079,right,1,1,1,0.4015966,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
95,0.5,1,47.4528726,,47.4372085,47.4528726,47.9361972,47.9361972,47.9529498,48.2362507,48.7703916,left,-1,0,0,0.8242707,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
96,0.5,1.5,48.7862335,,48.7704658,48.7862335,49.2697699,49.2697699,49.2862549,49.5695396,49.7205005,right,1.5,1,1,0.4445683,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
97,0.5,1.5,49.7362935,,49.7206104,49.7362935,50.2362715,50.2362715,50.2362715,50.5361821,50.7703775,right,1.5,1,1,0.5171108,756490,1,2024-09-12_12h44.28.565,adaptive_staircase,2024.1.5,None,2024-09-12 12h44.32.184514 +0530
